description,images,link,price,thumbnail,title
"Legend sandals 
Excellent condition (a secret on the back as shown in the photo)
Sold with dust box and receipt 
",,https://www.vestiairecollective.com/women-shoes/sandals/hermes/camel-leather-legend-hermes-sandals-31859520.shtml,69313,https://images.vestiairecollective.com/produit/31859520-7_6.jpg,Legend leather sandals
Hermes Carre Seide,,https://www.vestiairecollective.com/women-accessories/silk-handkerchief/hermes/multicolour-silk-carre-90-hermes-silk-handkerchief-31687715.shtml,17622,https://images.vestiairecollective.com/produit/31687715-1_2.jpg,Carré 90 silk silk handkerchief
"Design: Oran sandal
Color: vert
Size: 38.5
Material: leather
Condition: brand new
Comes with: packaging in photo and copy receipt",,https://www.vestiairecollective.com/women-shoes/sandals/hermes/green-leather-oran-hermes-sandals-30761067.shtml,79208,https://images.vestiairecollective.com/produit/30761067-1_2.jpg,Oran leather sandal
"Hermes Twilly - Red, Blue, and White with horse pattern",,https://www.vestiairecollective.com/women-accessories/scarves/hermes/red-silk-twilly-86-hermes-scarf-31735082.shtml,13500,https://images.vestiairecollective.com/produit/31735082-1_2.jpg,Twilly 86 silk scarf
"Superb vintage Hermès newsboy 100% silk
“Tourbillon” 
designed in 1968 by Christiane Vauzelles 
Yellow background with khaki, orange, brown,…
Never worn [ [2]]With box (corners of the lid damaged: see photo)",,https://www.vestiairecollective.com/women-accessories/scarves/hermes/yellow-silk-gavroche-45-hermes-scarf-31726132.shtml,21734,https://images.vestiairecollective.com/produit/31726132-1_2.jpg,Gavroche 45 silk choker
"Hermès Olympe ring in metal and black lizard skin double H
Size: M 
Size: 54 
Height: 0.9 cm
Good condition in general[[ 2]]Sold with box and Lucas jewelry certificate",,https://www.vestiairecollective.com/women-jewellery/rings/hermes/black-metal-hermes-ring-31832041.shtml,21499,https://images.vestiairecollective.com/produit/31832041-1_2.jpg,Ring
"Hermès ORAN 
new condition see sole, tried indoors.
Iconic and timeless model 
Perfect compromise between Oran black and natural colors 2 in 1 in the classics) 
 Printed Calfskin (natural black) 
Sold with box and dustbag. 

",,https://www.vestiairecollective.com/women-shoes/sandals/hermes/black-leather-oran-hermes-sandals-31538777.shtml,89755,https://images.vestiairecollective.com/produit/31538777-1_3.jpg,Oran leather mules
Narrow bracelet in enamel with rose gold-plated hardware,,https://www.vestiairecollective.com/women-jewellery/bracelets/hermes/black-pink-gold-clic-h-hermes-bracelet-31710573.shtml,47579,https://images.vestiairecollective.com/produit/31710573-1_2.jpg,Clic H pink gold bracelet
"Hermès 2022 Bride-A-Brac
large travel kit
Purchased in 11/2022, worn once.

Waterproof stain-resistant lining[[2] ]Herringbone canvas
""H"" embroidered on the front
Three interior pockets
You can wear it in many ways, please refer to the attached photos
[[2] ]Please note that the buckle and shoulder strap are not Hermès products, but I can give them to you as a gift if you buy this bag.

Please note that this product does not come with a dust bag. i will pack it very well before shipping",,https://www.vestiairecollective.com/women-bags/travel-bags/hermes/beige-cotton-bride-a-brac-hermes-travel-bag-30048602.shtml,84000,https://images.vestiairecollective.com/produit/30048602-1_1.jpg,Bride à brac vanity case
"Brand new, never worn Hermas chypre sandals in Blue Jeans & Brown Leather, size EU 39, UK 6.
Fits true to size or tale half a size up.
Comes with original box, dust bags and receipt.",,https://www.vestiairecollective.com/women-shoes/sandals/hermes/blue-leather-chypre-hermes-sandals-30421132.shtml,147521,https://images.vestiairecollective.com/produit/30421132-1_2.jpg,Chypre leather sandal
